,Dataset,Accuracy,F1_Score,Precision,Recall,Kappa,AUC
0,abalone_df_5,0.9862068965517241,0.9863627709954546,0.9865672293068056,0.9862068965517241,0.8499007965034362,0.9867162905645944
1,abalone_df_10,0.9857456140350878,0.9856273114187203,0.9855716514844804,0.9857456140350878,0.9124216995626995,0.9751333439911637
2,abalone_df_15,0.9884575026232949,0.9885160202132981,0.9886157675610412,0.9884575026232949,0.949529866590919,0.9933995486205689
3,abalone_df_20,0.9869215291750503,0.9869987466094259,0.9871618275233031,0.9869215291750503,0.9535524036145877,0.9954710144927537
4,abalone_df_25,0.9893822393822393,0.9894108094177646,0.98946474146232,0.9893822393822393,0.9669750081142486,0.9977972413069701
5,abalone_df_30,0.9832869080779945,0.9832869080779945,0.9832869080779945,0.9832869080779945,0.9528532238608506,0.9959677419354839
6,abalone_df_35,0.9874888293118856,0.9875165474063273,0.9875765920959333,0.9874888293118856,0.967563605645001,0.9976956033442869
7,abalone_df_40,0.9879310344827587,0.9879526839519335,0.9880027760882109,0.9879310344827587,0.9705150783420178,0.9980648617524117
8,abalone_df_45,0.9866777685262281,0.9866777685262281,0.9866777685262281,0.9866777685262281,0.9688904430715831,0.9979245185271528
9,abalone_df_50,0.9879324215607401,0.9879360585618415,0.9879411287225692,0.9879324215607401,0.9728534259718968,0.9985926819461197
10,abalone_df_55,0.9898753894080997,0.9898876609176083,0.9899324864067678,0.9898753894080997,0.9779496853351933,0.9989657492160353
11,abalone_df_60,0.9886877828054299,0.9887033549341598,0.988777311099123,0.9886877828054299,0.97593029587947,0.998473349141896
12,abalone_df_65,0.9897585954645208,0.9897683930334541,0.9898179462426911,0.9897585954645208,0.9785868531468531,0.9981446271541383
13,abalone_df_70,0.9900638750887154,0.990071395922198,0.9901158463269057,0.9900638750887154,0.9795189454426902,0.9982706626180275
14,abalone_df_75,0.9924137931034482,0.9924160573955367,0.9924269834490466,0.9924137931034482,0.9845182005781166,0.9984567091872907
15,abalone_df_80,0.9899396378269618,0.9899446997779695,0.9899938434760763,0.9899396378269618,0.9796512183338292,0.9984935259871323
16,abalone_df_85,0.9915198956294846,0.9915220740285021,0.991545464990828,0.9915198956294846,0.9829354107566252,0.9985838290931024
17,abalone_df_90,0.9898348157560356,0.9898367407061147,0.9898674909898618,0.9898348157560356,0.979619879680897,0.9984294168602909
18,abalone_df_95,0.9907178217821783,0.9907186930206484,0.9907567537559617,0.9907178217821783,0.9814272798320487,0.9988305133326079
19,abalone_df_100,0.9903439951719976,0.9903437982255121,0.9903897740967981,0.9903439951719976,0.9806880958485816,0.9986611539425301
